dispute_id,payment_id,reason_code,amount,respond_by,has_avs_match,has_cvv_match,has_delivery_confirmation,has_device_fingerprint_match,has_duplicate_transaction_proof,has_item_description_match,has_product_photos,has_refund_already_issued,has_return_communication,has_signature_confirmation,has_tracking_number,would_win
D027504,pay_31923501,duplicate_charge,7004.3,2026-07-24,False,False,False,False,True,True,True,True,True,True,,False
D021466,pay_64815899,item_not_received,5906.23,2026-02-11,,True,False,True,True,False,False,False,True,,False,False
D000016,pay_45298556,duplicate_charge,1929.78,2026-06-18,True,False,True,,False,True,True,True,True,True,True,False
D010410,pay_09122952,item_not_received,3647.96,2026-07-22,True,True,False,True,,True,True,False,,False,False,False
D016116,pay_07639378,item_not_received,2646.07,2026-05-18,True,True,True,True,False,,False,True,True,False,True,False
D006815,pay_81263321,item_not_received,7591.57,2026-09-12,True,False,False,False,True,False,,True,True,True,False,True
D015972,pay_45716060,duplicate_charge,3358.81,2026-03-27,True,True,True,,,True,,True,False,False,,False
D013279,pay_10373853,unauthorized_transaction,2412.84,2026-02-01,True,False,False,True,False,False,True,False,False,True,True,True
D013272,pay_51717197,duplicate_charge,6782.52,2026-05-01,False,True,True,False,True,False,True,,True,False,True,True
D015280,pay_43486519,duplicate_charge,3451.52,2026-04-24,,,True,False,True,False,True,True,True,True,False,False
D014345,pay_07504317,unauthorized_transaction,5180.8,2026-07-22,True,False,False,True,,True,True,False,False,False,,False
D017490,pay_08147162,item_not_received,2415.24,2026-09-29,False,True,True,True,True,False,False,True,,True,True,False
D003138,pay_11313427,item_not_as_described,4985.41,2026-06-04,True,True,False,False,False,True,False,False,True,True,False,False
D008596,pay_08777207,item_not_as_described,3522.68,2026-02-03,True,False,True,False,False,False,True,True,True,False,True,True
D017678,pay_03112739,item_not_received,3993.43,2026-09-03,True,False,False,False,True,False,True,,False,True,,True
D019624,pay_05021735,item_not_as_described,1069.46,2026-04-30,True,,True,,True,True,True,,True,,True,True
D026725,pay_15338998,duplicate_charge,3519.45,2026-07-15,False,False,False,True,True,True,,True,True,False,False,False
D004140,pay_28575934,item_not_received,1995.0,2026-07-05,,True,False,,True,True,,False,False,False,False,True
D008450,pay_40670103,duplicate_charge,2997.32,2026-08-03,False,False,False,False,True,True,True,,True,True,True,True
D014354,pay_44825349,item_not_as_described,2274.93,2026-09-17,False,True,True,True,True,True,True,True,False,True,True,False
D003398,pay_95650357,unauthorized_transaction,873.7,2026-01-21,True,True,False,,,True,False,False,False,,False,True
D028048,pay_16517400,unauthorized_transaction,1521.46,2026-02-08,True,True,,False,False,False,True,False,True,False,False,True
D029089,pay_61832325,duplicate_charge,4822.71,2026-03-26,False,False,False,True,,False,False,True,True,False,False,True
D002061,pay_04303033,item_not_received,600.44,2026-09-14,False,True,False,True,False,True,False,False,False,False,True,True
D026326,pay_27795768,duplicate_charge,3355.33,2026-02-24,True,False,False,True,False,False,False,False,False,,False,False
D009422,pay_83990186,item_not_as_described,3326.1,2026-01-16,False,False,True,False,False,False,,False,True,True,False,False
D028916,pay_28231804,item_not_received,1488.29,2026-09-23,True,False,False,True,False,True,False,,True,True,,True
D015804,pay_48038423,item_not_as_described,5676.39,2026-10-01,True,False,True,False,False,True,False,False,True,,,True
D005301,pay_65436495,unauthorized_transaction,7641.16,2026-06-24,True,False,True,False,False,True,True,,False,False,True,False
D009715,pay_78814292,duplicate_charge,1819.44,2026-03-02,True,True,True,True,False,False,,True,,False,False,False
D000774,pay_01027311,duplicate_charge,3896.79,2026-04-09,False,True,True,False,False,False,True,True,False,,True,False
D002554,pay_64518193,item_not_received,3563.38,2026-08-10,False,True,True,False,True,False,False,False,False,,False,False
D029143,pay_62515901,item_not_as_described,6593.29,2026-09-07,False,True,True,False,,False,True,False,False,True,False,True
D021496,pay_96912726,unauthorized_transaction,7382.3,2026-05-09,True,False,,True,False,,False,False,,,False,True
D022392,pay_82107079,duplicate_charge,6845.67,2026-04-16,,,True,False,False,,,False,True,False,,True
D015277,pay_11291741,unauthorized_transaction,2659.12,2026-07-08,True,False,False,,,False,False,True,,True,True,True
D011652,pay_41242934,unauthorized_transaction,453.45,2026-08-13,True,False,False,False,,,False,,True,,,False
D018770,pay_02305524,item_not_received,3902.33,2026-06-15,False,False,,False,,,False,True,,False,True,True
D004392,pay_93138304,unauthorized_transaction,7743.49,2026-10-10,True,,False,,,False,True,False,True,True,True,False
D018397,pay_54793272,item_not_received,3243.97,2026-04-01,False,True,False,False,False,,False,True,False,False,False,True
D000946,pay_62099851,item_not_received,3622.5,2026-07-09,False,True,False,True,,False,True,True,True,False,False,False
D007806,pay_94879409,item_not_received,2841.4,2026-06-21,True,True,True,False,False,,True,False,True,,,True
D018735,pay_05169173,item_not_received,2593.26,2026-05-14,False,True,True,True,True,True,True,False,True,True,False,False
D014560,pay_17531726,item_not_as_described,3016.03,2026-06-27,,False,True,True,False,False,,,False,False,False,False
D025215,pay_72860190,item_not_received,5341.89,2026-06-28,True,True,,,False,False,True,True,,True,True,True
D012180,pay_81141289,item_not_received,1157.66,2026-10-17,,True,False,True,False,False,True,,,False,,False
D029562,pay_30915542,item_not_received,2000.36,2026-05-14,False,True,False,,True,False,False,True,,True,True,False
D013864,pay_91654284,item_not_received,6173.35,2026-04-13,True,False,False,False,True,False,False,,True,True,False,True
D028899,pay_21498843,item_not_received,7293.91,2026-07-05,False,False,False,False,False,True,True,True,True,False,False,False
D025150,pay_01728266,duplicate_charge,840.19,2026-10-05,,True,False,True,True,False,False,False,True,True,False,False
D012627,pay_88575051,item_not_received,5712.89,2026-02-11,False,True,True,False,False,False,True,True,,True,,True
D008923,pay_07015361,item_not_received,1211.58,2026-03-18,True,True,False,True,True,True,True,False,,,True,True
D001648,pay_46499638,item_not_received,1397.18,2026-01-15,False,False,False,False,True,False,,False,False,,False,False
D025035,pay_37157296,duplicate_charge,954.4,2026-06-24,False,True,,False,True,False,,True,False,False,False,True
D000457,pay_53196481,item_not_received,2114.75,2026-09-10,False,False,True,True,True,True,True,True,False,False,,False
D005809,pay_74389856,item_not_as_described,1174.78,2026-09-27,True,False,False,False,False,False,True,False,False,,,False
D000180,pay_64174787,duplicate_charge,5748.56,2026-09-10,True,,False,,,True,,,True,True,,False
D005131,pay_28646713,duplicate_charge,678.13,2026-07-30,False,False,False,False,,,True,False,False,False,True,True
D022575,pay_22818557,duplicate_charge,2876.38,2026-03-13,False,False,False,True,True,False,True,,False,True,True,True
D019632,pay_56166893,item_not_as_described,6518.53,2026-08-08,False,True,False,,False,False,True,True,False,True,False,False
D012332,pay_94434227,item_not_received,6710.04,2026-10-06,False,True,True,True,True,True,,True,False,True,True,True
D012297,pay_35149408,unauthorized_transaction,2153.46,2026-07-21,False,,False,True,False,False,False,False,False,True,False,True
D008254,pay_32369014,item_not_received,5142.34,2026-06-06,,,False,False,False,False,False,True,True,True,,True
D011238,pay_48263113,unauthorized_transaction,1443.48,2026-03-14,True,False,False,True,False,False,True,,False,False,False,True
D004457,pay_46931183,duplicate_charge,3136.61,2026-08-02,False,False,True,True,True,False,True,False,False,False,True,True
D026372,pay_14465511,item_not_as_described,6090.74,2026-05-14,False,True,False,True,False,False,True,True,True,False,True,True
D022796,pay_12722911,item_not_as_described,6156.72,2026-08-16,False,,,True,False,False,False,False,False,True,False,False
D017992,pay_07233508,item_not_as_described,1128.26,2026-08-25,False,False,False,False,True,True,True,False,False,True,True,True
D021965,pay_05782128,item_not_as_described,7238.66,2026-02-24,,False,False,False,False,True,,False,True,True,True,True
D007223,pay_97151645,item_not_as_described,6232.09,2026-08-04,False,,,True,True,False,,True,False,,True,False
D013088,pay_55615013,unauthorized_transaction,2175.81,2026-06-16,False,True,True,False,True,False,False,False,True,,True,True
D025420,pay_46816760,duplicate_charge,1379.28,2026-02-07,False,False,False,True,False,False,True,False,False,True,False,False
D011119,pay_81418731,item_not_as_described,7317.38,2026-01-18,,True,True,False,True,False,,,True,True,True,False
D009843,pay_41167305,item_not_received,4178.34,2026-07-27,True,,True,,False,False,False,True,False,,True,True
D009825,pay_57211874,unauthorized_transaction,1542.62,2026-08-24,False,False,False,,True,,True,,False,True,True,False
D008982,pay_44024753,item_not_as_described,998.74,2026-10-11,False,True,False,False,True,False,False,False,True,True,True,False
D003874,pay_36317744,unauthorized_transaction,2534.24,2026-08-01,,False,True,False,False,True,True,False,True,,False,False
D012301,pay_63128571,unauthorized_transaction,2473.44,2026-08-12,False,False,False,True,True,True,,True,False,False,False,False
D002598,pay_03114479,duplicate_charge,2251.28,2026-05-25,False,True,True,False,True,False,False,True,True,True,False,True
D018638,pay_04926586,unauthorized_transaction,4564.22,2026-02-11,True,,True,True,True,,,True,True,False,True,True
D005382,pay_14836080,item_not_received,2960.6,2026-06-03,True,,False,False,True,,False,True,True,False,False,False
D028610,pay_06332515,item_not_received,6982.63,2026-07-09,False,False,False,False,True,False,False,False,True,True,False,True
D023790,pay_47555411,item_not_as_described,7030.14,2026-06-21,True,True,False,,False,False,False,True,True,False,False,False
D002723,pay_42786271,item_not_as_described,1981.7,2026-03-26,True,True,,False,False,False,False,True,False,False,False,True
D017229,pay_17470836,unauthorized_transaction,1001.69,2026-10-01,False,True,True,False,,False,,,,True,False,True
D009169,pay_11802387,duplicate_charge,6481.17,2026-01-05,True,,False,,False,True,,True,False,,True,False
D004522,pay_68409901,item_not_as_described,1667.12,2026-01-08,True,False,True,False,False,False,False,False,False,True,True,False
D010766,pay_81807600,item_not_received,7130.34,2026-04-26,,False,False,True,False,True,,True,False,False,,False
D002429,pay_38841213,item_not_received,5054.52,2026-04-11,False,True,False,True,False,False,True,False,True,False,False,False
D027380,pay_50453087,unauthorized_transaction,1385.7,2026-07-27,True,False,True,True,True,True,,True,False,True,False,False
D011819,pay_82339672,unauthorized_transaction,4428.81,2026-07-17,True,,True,,False,False,False,True,False,False,True,False
D028857,pay_27871785,item_not_received,4910.78,2026-07-16,True,True,True,True,False,False,True,,False,False,True,False
D029650,pay_82478212,item_not_received,2243.89,2026-09-24,False,True,False,False,True,True,False,,,,True,True
D009941,pay_98301816,duplicate_charge,5959.36,2026-04-12,True,False,True,False,False,False,True,True,,False,,False
D008749,pay_08301302,duplicate_charge,6100.88,2026-08-03,False,False,False,False,False,False,False,True,False,False,,False
D002641,pay_19916886,unauthorized_transaction,5023.37,2026-02-13,False,True,False,True,True,False,True,True,True,True,True,True
D000080,pay_35955440,item_not_as_described,1171.72,2026-03-01,True,True,,False,False,True,,False,True,True,False,True
D017034,pay_07529994,duplicate_charge,5973.46,2026-03-03,True,False,False,True,True,False,False,True,True,,False,False
D012663,pay_57501741,item_not_received,6084.48,2026-01-28,,False,False,False,False,False,False,,True,False,True,False
D015933,pay_86666358,item_not_as_described,2959.45,2026-01-26,False,True,,False,True,True,,False,True,True,True,True
D025730,pay_18047556,item_not_as_described,4748.83,2026-10-05,False,False,,False,True,,True,False,False,,True,True
D011540,pay_12503388,item_not_received,6248.35,2026-08-17,,False,False,True,False,,True,,True,False,True,False
D020358,pay_84830358,item_not_as_described,5224.31,2026-03-21,False,False,False,True,,True,True,False,True,True,True,True
D006167,pay_13344049,item_not_as_described,7118.59,2026-02-05,,False,False,False,True,True,True,False,True,True,True,True
D022662,pay_26510656,unauthorized_transaction,2108.92,2026-07-18,,True,False,True,False,,True,False,False,,False,True
D006754,pay_86298885,unauthorized_transaction,5324.23,2026-02-26,True,True,False,,False,False,True,False,,True,False,True
D020964,pay_85455866,duplicate_charge,7407.39,2026-04-12,True,False,,False,False,True,False,,False,True,False,True
D013794,pay_46618116,item_not_as_described,3331.07,2026-02-24,False,False,False,True,True,False,True,True,False,False,False,True
D023192,pay_66349685,item_not_as_described,599.02,2026-10-02,True,False,,True,,True,False,False,,False,,False
D013482,pay_15245780,item_not_as_described,5504.96,2026-01-29,True,True,False,False,False,True,True,True,False,True,,False
D017535,pay_43137492,item_not_as_described,2437.66,2026-07-14,,,False,,,False,False,True,False,False,True,False
D028064,pay_37033294,duplicate_charge,5555.77,2026-07-19,True,True,True,False,True,True,True,True,False,True,False,False
D005046,pay_65516320,duplicate_charge,2896.19,2026-02-23,True,,True,True,True,True,True,False,False,False,True,True
D010926,pay_33480092,unauthorized_transaction,7500.69,2026-02-03,False,False,,True,True,False,False,True,True,False,False,True
D005921,pay_35833201,item_not_received,5539.65,2026-08-07,True,True,False,False,False,False,,True,False,True,False,False
D028607,pay_79910172,item_not_received,5015.01,2026-09-26,False,False,True,False,False,False,False,True,True,True,False,True
D006411,pay_55140635,duplicate_charge,7335.9,2026-08-18,False,True,False,True,False,False,False,True,True,True,,True
D023795,pay_30440873,item_not_as_described,5244.18,2026-02-28,,False,False,True,,True,,False,False,True,True,True
D004576,pay_41223806,item_not_as_described,4013.31,2026-07-13,False,True,True,False,,True,True,False,False,False,False,True
D021135,pay_50222780,item_not_as_described,5044.46,2026-08-17,,True,True,True,False,True,True,True,False,False,False,True
D010635,pay_98818414,item_not_as_described,1314.4,2026-03-24,False,False,True,True,True,True,True,,True,True,False,True
D010140,pay_97531697,item_not_as_described,2258.78,2026-07-29,True,False,False,True,True,True,False,,False,False,True,False
D016671,pay_26492770,duplicate_charge,3006.28,2026-05-12,True,,True,False,True,False,True,True,True,True,False,True
D024876,pay_94795272,unauthorized_transaction,7318.22,2026-09-27,,True,,True,True,True,True,False,False,False,False,True
D005132,pay_25401600,unauthorized_transaction,2819.04,2026-05-23,True,True,False,True,True,False,False,True,False,False,False,False
D025847,pay_79578536,item_not_received,704.64,2026-04-15,,True,False,False,True,True,False,True,False,False,False,False
D026905,pay_53218163,unauthorized_transaction,3081.83,2026-10-21,False,False,,,False,False,True,False,False,,False,False
D028582,pay_28817739,unauthorized_transaction,6170.9,2026-07-04,False,True,True,False,False,True,False,True,False,True,,False
D021229,pay_23000603,item_not_received,692.33,2026-06-11,,False,True,True,False,False,False,True,True,,True,True
D022445,pay_31724230,unauthorized_transaction,5430.26,2026-09-01,,True,True,True,False,True,True,True,True,False,False,True
D029512,pay_39734656,unauthorized_transaction,7211.81,2026-01-07,True,False,True,True,True,,True,True,True,,True,True
D025224,pay_10064322,duplicate_charge,7989.47,2026-09-23,False,False,,False,False,,True,False,,True,False,False
D005161,pay_64694304,unauthorized_transaction,1067.82,2026-10-03,True,True,False,True,,False,,True,True,True,False,True
D017727,pay_71962388,item_not_received,5971.03,2026-03-19,True,True,True,True,True,True,True,False,,True,False,True
D000812,pay_08231695,duplicate_charge,5048.82,2026-04-29,True,False,,True,False,,True,False,True,False,,False
D021423,pay_93240504,unauthorized_transaction,4941.25,2026-07-28,False,False,False,,False,False,True,False,False,,,True
D023477,pay_76087103,item_not_as_described,6390.32,2026-02-21,,False,False,False,True,True,True,True,True,False,True,True
D013410,pay_69236975,duplicate_charge,1247.57,2026-06-12,False,True,False,,True,,,True,True,True,True,True
D029550,pay_89594266,item_not_received,7116.16,2026-06-20,False,False,True,False,False,True,,True,False,True,True,True
D027255,pay_05261434,item_not_received,4336.37,2026-08-03,True,True,True,False,,True,True,False,True,True,True,True
D003002,pay_37373533,unauthorized_transaction,4343.76,2026-01-23,False,True,True,True,,False,False,True,False,,False,True
D024706,pay_61017536,item_not_as_described,856.33,2026-08-20,False,False,True,False,True,False,,True,False,True,False,False
D013477,pay_41766103,item_not_received,7377.09,2026-10-15,True,,False,True,True,False,False,True,True,,False,False
D015035,pay_50208659,duplicate_charge,7232.99,2026-02-18,True,False,False,True,True,False,,False,True,True,False,True
D010801,pay_42438274,item_not_received,6688.65,2026-02-13,False,False,False,True,False,True,False,True,True,False,True,False
D029893,pay_49812716,item_not_as_described,5154.69,2026-04-03,,,True,True,False,True,,True,False,True,True,True
D009626,pay_05708335,item_not_as_described,4739.28,2026-06-27,,True,False,,False,True,True,True,True,False,True,False
D024538,pay_36298248,unauthorized_transaction,4928.67,2026-09-10,True,True,False,,,,True,False,True,,,True
D025769,pay_94332139,item_not_received,4108.74,2026-07-12,True,True,True,,False,False,True,True,,True,True,True
D015349,pay_21461736,item_not_as_described,7624.82,2026-06-15,False,True,,True,True,True,True,True,False,False,True,True
D016359,pay_09124677,item_not_received,1836.26,2026-08-25,True,False,False,True,True,True,True,,True,,True,False
D017663,pay_38014544,duplicate_charge,4103.19,2026-04-27,True,False,True,False,True,False,False,True,True,False,True,True
D007609,pay_44498591,unauthorized_transaction,3064.78,2026-06-13,True,False,False,False,True,True,True,,True,,True,False
D029929,pay_35392655,duplicate_charge,2602.54,2026-10-16,True,,True,False,,,True,True,False,True,True,False
D017002,pay_56123722,unauthorized_transaction,1160.72,2026-07-11,False,False,True,False,,False,False,False,,False,True,False
D026061,pay_70188843,item_not_received,3711.94,2026-09-03,,True,True,True,,False,True,,False,True,True,True
D010424,pay_80659073,item_not_received,7523.13,2026-09-22,False,False,True,False,False,False,False,,,False,False,True
D006359,pay_44863956,unauthorized_transaction,1303.65,2026-09-13,True,True,True,True,True,True,True,False,,False,True,True
D005244,pay_27273446,item_not_as_described,2398.81,2026-05-17,False,True,False,,True,False,False,,True,True,False,False
D003331,pay_22424966,item_not_received,374.77,2026-06-27,,False,True,True,False,False,False,True,False,False,True,False
D029574,pay_12378767,duplicate_charge,4555.75,2026-03-23,,,True,False,True,False,False,False,False,,True,False
D029506,pay_44415509,item_not_received,6115.28,2026-08-16,False,False,True,False,True,False,True,True,False,False,,False
D004562,pay_96053205,item_not_received,6311.79,2026-04-19,,True,False,True,True,,,False,False,,False,False
D017894,pay_27142579,item_not_as_described,3570.19,2026-02-19,False,False,False,True,False,,True,True,,True,True,True
D027067,pay_93257113,item_not_received,6547.86,2026-03-09,,True,False,False,True,False,False,False,True,,False,False
D026860,pay_58682618,duplicate_charge,1418.78,2026-08-09,,False,True,,True,True,False,True,True,True,True,True
D018727,pay_22205829,item_not_as_described,2496.4,2026-06-16,True,False,True,,True,True,True,True,,True,False,True
D018471,pay_62389548,item_not_received,6216.01,2026-04-28,,False,True,False,False,False,False,,False,,True,True
D018980,pay_53276275,unauthorized_transaction,4576.06,2026-04-17,False,False,True,True,False,False,False,True,False,True,True,False
D009612,pay_05585363,unauthorized_transaction,3051.15,2026-07-28,False,,False,False,False,False,False,True,True,True,True,False
D013914,pay_00589516,item_not_received,4062.99,2026-10-04,,False,True,,False,False,True,False,,True,False,True
D004550,pay_40767614,unauthorized_transaction,6505.1,2026-05-03,True,,,,True,,True,False,,False,True,True
D017427,pay_66559509,item_not_received,2335.69,2026-05-25,False,True,True,False,False,,False,True,True,,False,False
D023661,pay_68686946,item_not_as_described,4367.61,2026-05-18,True,False,,False,True,True,True,True,True,False,,True
D006278,pay_04836016,item_not_received,4607.37,2026-06-11,False,False,,True,,False,,True,False,False,False,False
D023401,pay_81095248,unauthorized_transaction,2770.43,2026-03-06,,False,False,True,True,,,True,True,False,True,True
D009102,pay_79009629,duplicate_charge,2718.96,2026-01-08,False,,True,,False,False,False,,False,True,False,False
D001345,pay_79658633,unauthorized_transaction,6548.17,2026-03-14,True,True,True,True,,,True,True,False,True,False,True
D024270,pay_04106891,item_not_as_described,4940.97,2026-07-10,False,,False,True,,False,True,False,True,False,False,True
D028481,pay_21393008,item_not_as_described,764.71,2026-01-11,False,False,True,True,False,False,False,False,False,False,True,True
D000634,pay_56460869,unauthorized_transaction,474.05,2026-04-05,False,True,True,,True,,False,,True,True,False,True
D003286,pay_57727255,unauthorized_transaction,5736.05,2026-03-24,True,True,True,True,True,True,True,False,False,False,True,True
D023768,pay_38999018,unauthorized_transaction,6419.34,2026-05-01,True,True,False,True,False,,False,True,False,False,,True
D019039,pay_52527343,unauthorized_transaction,6017.0,2026-08-09,,True,False,True,True,True,False,True,True,True,False,True
D028283,pay_47338615,duplicate_charge,3904.62,2026-07-15,False,True,,True,,True,,False,False,,False,False
D010976,pay_65229946,duplicate_charge,4603.58,2026-02-07,,False,False,False,True,True,False,,True,True,True,True
D029891,pay_89759667,duplicate_charge,7399.27,2026-02-06,True,True,,True,,,True,False,False,False,True,False
D029013,pay_30152851,item_not_as_described,4781.91,2026-06-25,True,True,True,True,False,True,False,False,False,False,True,False
D005835,pay_08829938,unauthorized_transaction,2147.05,2026-09-27,True,True,False,True,False,,False,False,True,False,False,True
D013130,pay_76662350,item_not_as_described,5443.5,2026-08-05,True,False,False,True,True,True,True,False,False,False,True,True
D018147,pay_92167912,item_not_received,4505.66,2026-09-01,False,True,False,,True,True,False,False,,True,True,True
D001707,pay_45066356,item_not_received,6915.54,2026-06-26,,True,True,False,,,True,True,False,,True,True
D009443,pay_24838784,item_not_received,5355.6,2026-09-15,False,False,,False,False,True,True,True,False,True,True,True
D008467,pay_46766994,item_not_received,530.14,2026-08-29,True,False,False,False,False,True,True,True,,True,,True
D029172,pay_97853468,unauthorized_transaction,2976.74,2026-10-06,False,False,False,False,False,,True,False,,,False,False
D017281,pay_60527916,item_not_received,3494.73,2026-07-17,False,,True,True,False,True,True,False,True,True,True,True
D028805,pay_29218878,item_not_received,1346.43,2026-06-12,True,,,False,,True,False,False,,False,True,False
D015875,pay_77195024,duplicate_charge,7135.75,2026-06-26,,True,False,False,True,False,False,True,False,True,,True
D007536,pay_98536140,unauthorized_transaction,1575.69,2026-09-12,False,True,False,True,True,True,True,,False,False,False,True
D022242,pay_30278320,duplicate_charge,3080.24,2026-10-21,,True,True,False,False,False,True,False,True,,,True
D008249,pay_53378047,unauthorized_transaction,5930.24,2026-06-02,,False,True,True,True,False,False,False,True,,,True
D020860,pay_14920418,item_not_received,6758.72,2026-04-22,True,False,False,,False,False,True,,True,False,False,False
D004059,pay_20219532,unauthorized_transaction,7665.51,2026-01-06,False,True,True,True,True,False,,True,False,False,False,False
D026730,pay_78923935,unauthorized_transaction,7565.52,2026-08-15,,False,,False,True,True,False,True,True,True,False,False
D011062,pay_38812163,item_not_received,787.01,2026-01-04,True,False,True,False,True,False,True,False,True,True,True,True
D016952,pay_73047228,item_not_as_described,7401.83,2026-08-19,False,True,True,False,,True,True,False,True,False,True,True
D018305,pay_61924271,duplicate_charge,6792.87,2026-08-25,False,True,True,True,False,True,True,False,True,False,False,True
D002053,pay_65082784,item_not_as_described,3252.72,2026-01-17,False,,False,False,,False,False,True,,False,False,True
D015797,pay_45311661,unauthorized_transaction,942.0,2026-08-05,,True,True,False,False,False,True,True,True,True,True,False
D028605,pay_85728990,unauthorized_transaction,1850.64,2026-03-06,False,,False,True,False,True,True,,True,False,False,True
D015158,pay_03469321,item_not_received,4242.59,2026-08-20,True,False,,True,False,False,True,False,False,True,False,False
D002876,pay_61079664,item_not_received,2485.86,2026-05-11,True,True,False,,True,False,True,False,False,True,True,True
D001516,pay_97909263,unauthorized_transaction,5053.44,2026-01-25,False,False,True,False,,True,,False,,False,True,False
D006687,pay_74273394,item_not_received,1314.04,2026-04-01,True,False,True,True,False,False,False,True,False,False,,False
D012985,pay_81360511,item_not_received,4631.8,2026-03-03,True,False,False,,False,True,,False,True,False,True,False
D009192,pay_37668490,duplicate_charge,1679.74,2026-03-11,True,True,False,False,True,True,True,,False,True,True,True
D015150,pay_30196521,duplicate_charge,4242.69,2026-01-23,True,True,False,True,False,,True,True,False,False,True,True
D008861,pay_54641312,item_not_received,1050.23,2026-09-04,False,False,True,True,False,False,False,False,True,True,True,False
D013867,pay_66684969,item_not_as_described,3763.71,2026-09-24,True,,True,True,True,,,False,False,False,,True
D013880,pay_04064990,item_not_received,2762.17,2026-01-18,False,,True,,False,True,,True,True,True,True,True
D014260,pay_16239417,unauthorized_transaction,4931.04,2026-10-19,False,False,,False,True,True,False,True,True,False,True,False
D018997,pay_16641702,item_not_received,2298.66,2026-03-01,True,True,True,False,False,False,True,,False,False,True,True
D007204,pay_02801704,item_not_as_described,502.7,2026-01-19,False,False,True,True,,True,True,False,,True,,False
D020718,pay_53534893,item_not_as_described,2625.16,2026-02-10,True,,,False,True,,False,True,,False,,True
D027952,pay_92056629,unauthorized_transaction,7814.24,2026-06-20,True,False,True,True,False,False,True,False,False,False,True,True
D000986,pay_21914709,item_not_as_described,3066.69,2026-06-27,True,False,,True,True,True,True,False,False,False,False,True
D019009,pay_81410038,unauthorized_transaction,1800.6,2026-05-20,True,,False,True,True,,False,False,False,False,True,True
D018582,pay_60932402,item_not_received,3699.54,2026-01-16,False,True,,False,True,True,False,False,True,False,False,True
D029330,pay_84749941,item_not_received,7498.34,2026-04-30,True,True,True,,False,True,,,False,True,,True
D013011,pay_24326345,item_not_received,3190.43,2026-06-27,False,False,False,False,False,False,True,True,True,False,True,False
D028083,pay_90190204,duplicate_charge,911.92,2026-06-19,False,True,False,True,False,False,False,True,False,True,False,True
D005732,pay_74682086,item_not_as_described,5664.23,2026-09-15,False,False,False,True,,True,,False,True,False,True,True
D029200,pay_00800766,unauthorized_transaction,848.5,2026-09-21,True,False,False,False,False,True,False,False,True,True,True,False
D014369,pay_37608625,item_not_received,6322.66,2026-09-27,,,True,,False,True,True,True,False,True,True,False
D014456,pay_41556133,duplicate_charge,4497.28,2026-03-29,False,True,True,False,False,,True,False,True,,True,False
D013108,pay_27567624,duplicate_charge,6092.31,2026-09-19,False,False,,True,False,False,True,False,True,False,True,True
D027985,pay_38033035,duplicate_charge,6536.31,2026-02-03,True,,True,,True,True,False,False,True,True,True,True
